athlete_id,sum(points)
98761903,397.541373724844
98768140,547.5929982662201
98766391,142.80099344790457
98768546,353.30447353372665
98762316,0
98760742,562.6280024051666
98766694,471.68903064586544
98762093,497.23500061035156
98768761,515.8159980773926
98769249,485.4408877736807
98769321,566.4580090765647
98767488,443.132860329772
98765592,534.8239492815018
98761986,283.87740538069727
98766100,364.6039981842041
98764859,60.34476797640991
98767708,395.58180005903245
98765447,449.48967647720326
98761642,281.67498469433974
98765548,494.87000036239624
98766422,358.23078125574017
98760882,463.07699966430664
98760867,417.10592222484684
98768390,246.1546898296814
98763475,72.3614475286274
98768475,396.91795118985084
98761744,365.97899627685547
98767816,408.17525324092765
98761638,403.56150811122893
98762993,368.72683929486084
98760419,696.0980048179626
98767896,552.5810006856918
98768057,464.97700119018555
98764735,569.5620002746582
98767032,137.9000005722046
98764822,111.17221811196325
98762905,338.12638506530755
98766463,538.6100001335144
98767193,477.33564520773314
98765517,535.7920010089874
98760687,204.94076805651855
98767368,386.78364656848146
98761953,109.96107758004379
98768058,545.9099988937378
98765234,276.3996426759662
98762966,202.69840112338068
98763937,412.9359974861145
98764809,535.0319994688034
98764498,482.7978158104629
98764895,524.3569996356964
98762832,422.1500055031109
98765159,190.73875647943737
98763292,493.9860019683838
98768529,458.8640814629134
98769881,88.01499938964844
98766644,690.6779990196228
98769482,352.5152397640571
98761759,571.7889976501465
98761958,454.089894391243
98769427,57.18488791804313
98767751,247.62399864196777
98761891,473.32200050354004
98765280,75.49399948120117
98769136,661.7240014076233
98769375,98.78546078034782
98767165,356.7941353368301
98760320,243.70870113549137
98763303,414.0754929652519
98767507,0
98766570,97.18999862670898
98767300,497.0020022392273
98761874,373.46756629990006
98767661,323.67909657481187
98766941,499.51609869047024
98765605,528.2795914106445
98764773,288.5753766347275
98763885,465.74699236593995
98768960,447.54657253451535
98764659,380.12863368014723
98761162,97.85379173165131
98761828,165.977800564003
98762723,248.40900039672852
98762058,411.28230181766503
98767766,634.8549995422363
98764419,417.8159999847412
98766291,578.6630001068115
98767669,279.060998916626
98762018,151.12146683499336
98763643,493.1348061853332
98766451,150.95400047302246
98760253,317.7049276842804
98760901,64.24320790881347
98769509,0
